date,region,produit,division_code,categorie,unite,prix_moyen
2018-05-01,KAOLACK,Maïs,D01,Alimentaire,kg,220.9
01/06/2018,Kaolack ,Maïs,D01,Alimentaire,kg,229.6
2018-07-01,kaolack,Maïs,D01,Alimentaire,kg,230.1
01/08/2018,kaolack,Maïs,D01,Alimentaire,kg,216.5
01/09/2018,Kaolack ,Maïs,D01,Alimentaire,kg,207.9
01/10/2018,KAOLACK,Maïs,D01,Alimentaire,kg,208.6
01/11/2018,Kaolack ,Maïs,D01,Alimentaire,kg,192.2
01/12/2018,kaolack,Maïs,D01,Alimentaire,kg,196.2
Janvier 2019,Kaolack ,Maïs,D01,Alimentaire,kg,203.0
Février 2019,KAOLACK,Maïs,D01,Alimentaire,kg,2081.0
2019-03-01,Kaolack ,Maïs,D01,Alimentaire,kg,212.6
2019-04-01,KAOLACK,Maïs,D01,Alimentaire,kg,221.6
2019-05-01,kaolack,Maïs,D01,Alimentaire,kg,"236,3"
2019-06-01,Kaolack ,Maïs,D01,Alimentaire,kg,219.5
Juillet 2019,kaolack,Maïs,D01,Alimentaire,kg,227.4
Août 2019,kaolack,Maïs,D01,Alimentaire,kg,"228,2"
01/09/2019,KAOLACK,Maïs,D01,Alimentaire,kg,214.7
Octobre 2019,KAOLACK,Maïs,D01,Alimentaire,kg,212.4
01/11/2019,KAOLACK,Maïs,D01,Alimentaire,kg,199.9
01/12/2019,Kaolack ,Maïs,D01,Alimentaire,kg,196.9
Janvier 2020,KAOLACK,Maïs,D01,Alimentaire,kg,"199,3"
2020-02-01,KAOLACK,Maïs,D01,Alimentaire,kg,204.0
2020-03-01,kaolack,Maïs,D01,Alimentaire,kg,212.6
2020-04-01,kaolack,Maïs,D01,Alimentaire,kg,226.2
2020-05-01,Kaolack ,Maïs,D01,Alimentaire,kg,229.9
2020-06-01,KAOLACK,Maïs,D01,Alimentaire,kg,243.1
Juillet 2020,KAOLACK,Maïs,D01,Alimentaire,kg,241.1
Août 2020,KAOLACK,Maïs,D01,Alimentaire,kg,"237,5"
01/09/2020,KAOLACK,Maïs,D01,Alimentaire,kg,218.7
01/10/2020,kaolack,Maïs,D01,Alimentaire,kg,207.0
2020-11-01,KAOLACK,Maïs,D01,Alimentaire,kg,206.6
2020-12-01,Kaolack ,Maïs,D01,Alimentaire,kg,214.4
01/01/2021,Kaolack ,Maïs,D01,Alimentaire,kg,210.5
2021-02-01,kaolack,Maïs,D01,Alimentaire,kg,208.8
Mars 2021,KAOLACK,Maïs,D01,Alimentaire,kg,222.1
2021-04-01,Kaolack ,Maïs,D01,Alimentaire,kg,233.9
Mai 2021,Kaolack ,Maïs,D01,Alimentaire,kg,232.8
2021-06-01,Kaolack ,Maïs,D01,Alimentaire,kg,251.2
2021-07-01,Kaolack ,Maïs,D01,Alimentaire,kg,243.2
01/08/2021,Kaolack ,Maïs,D01,Alimentaire,kg,"238,4"
2021-09-01,Kaolack ,Maïs,D01,Alimentaire,kg,"230,5"
01/10/2021,Kaolack ,Maïs,D01,Alimentaire,kg,"226,2"
2021-11-01,kaolack,Maïs,D01,Alimentaire,kg,210.5
Décembre 2021,Kaolack ,Maïs,D01,Alimentaire,kg,202.9
01/01/2022,KAOLACK,Maïs,D01,Alimentaire,kg,218.1
Février 2022,Kaolack ,Maïs,D01,Alimentaire,kg,216.4
01/03/2022,kaolack,Maïs,D01,Alimentaire,kg,236.9
Avril 2022,KAOLACK,Maïs,D01,Alimentaire,kg,258.5
01/05/2022,Kaolack ,Maïs,D01,Alimentaire,kg,268.4
Juin 2022,KAOLACK,Maïs,D01,Alimentaire,kg,279.4
Juillet 2022,Kaolack ,Maïs,D01,Alimentaire,kg,279.1
Août 2022,Kaolack ,Maïs,D01,Alimentaire,kg,"285,4"
Septembre 2022,KAOLACK,Maïs,D01,Alimentaire,kg,261.9
Octobre 2022,Kaolack ,Maïs,D01,Alimentaire,kg,258.7
Novembre 2022,KAOLACK,Maïs,D01,Alimentaire,kg,247.7
2022-12-01,Kaolack ,Maïs,D01,Alimentaire,kg,245.5
2023-01-01,Kaolack ,Maïs,D01,Alimentaire,kg,241.5
2023-02-01,kaolack,Maïs,D01,Alimentaire,kg,258.1
01/03/2023,kaolack,Maïs,D01,Alimentaire,kg,"258,4"
2023-04-01,Kaolack ,Maïs,D01,Alimentaire,kg,281.8
2023-05-01,Kaolack ,Maïs,D01,Alimentaire,kg,289.0
01/06/2023,Kaolack ,Maïs,D01,Alimentaire,kg,
2023-07-01,KAOLACK,Maïs,D01,Alimentaire,kg,295.5
Août 2023,kaolack,Maïs,D01,Alimentaire,kg,288.0
Septembre 2023,KAOLACK,Maïs,D01,Alimentaire,kg,279.7
2023-10-01,KAOLACK,Maïs,D01,Alimentaire,kg,266.9
01/11/2023,KAOLACK,Maïs,D01,Alimentaire,kg,256.3
Décembre 2023,kaolack,Maïs,D01,Alimentaire,kg,248.0
2024-01-01,Kaolack ,Maïs,D01,Alimentaire,kg,240.1
Février 2024,KAOLACK,Maïs,D01,Alimentaire,kg,259.7
01/03/2024,KAOLACK,Maïs,D01,Alimentaire,kg,259.5
01/04/2024,KAOLACK,Maïs,D01,Alimentaire,kg,"276,8"
2024-05-01,KAOLACK,Maïs,D01,Alimentaire,kg,292.1
01/06/2024,kaolack,Maïs,D01,Alimentaire,kg,299.1
01/07/2024,Kaolack ,Maïs,D01,Alimentaire,kg,283.4
2024-08-01,KAOLACK,Maïs,D01,Alimentaire,kg,287.3
Septembre 2024,Kaolack ,Maïs,D01,Alimentaire,kg,"281,3"
01/10/2024,Kaolack ,Maïs,D01,Alimentaire,kg,269.4
Novembre 2024,KAOLACK,Maïs,D01,Alimentaire,kg,268.5
2024-12-01,kaolack,Maïs,D01,Alimentaire,kg,"247,2"
Janvier 2025,Kaolack ,Maïs,D01,Alimentaire,kg,241.2
01/02/2025,Kaolack ,Maïs,D01,Alimentaire,kg,263.3
01/03/2025,KAOLACK,Maïs,D01,Alimentaire,kg,267.7
2025-04-01,KAOLACK,Maïs,D01,Alimentaire,kg,"273,5"
Mai 2025,kaolack,Maïs,D01,Alimentaire,kg,293.8
2025-06-01,Kaolack ,Maïs,D01,Alimentaire,kg,308.8
Juillet 2025,Kaolack ,Maïs,D01,Alimentaire,kg,
01/08/2025,kaolack,Maïs,D01,Alimentaire,kg,3099.0
01/09/2025,kaolack,Maïs,D01,Alimentaire,kg,282.5
01/10/2025,kaolack,Maïs,D01,Alimentaire,kg,"278,2"
2025-11-01,kaolack,Maïs,D01,Alimentaire,kg,"263,4"
01/12/2025,kaolack,Maïs,D01,Alimentaire,kg,260.0
2026-01-01,KAOLACK,Maïs,D01,Alimentaire,kg,252.0
Février 2026,kaolack,Maïs,D01,Alimentaire,kg,253.9
01/03/2026,kaolack,Maïs,D01,Alimentaire,kg,290.7
2026-04-01,kaolack,Maïs,D01,Alimentaire,kg,284.7
2026-05-01,Kaolack ,Maïs,D01,Alimentaire,kg,295.3
Janvier 2018,Kolda ,Maïs,D01,Alimentaire,kg,205.6
2018-02-01,Kolda ,Maïs,D01,Alimentaire,kg,214.1
2018-03-01,Kolda ,Maïs,D01,Alimentaire,kg,219.5
2018-04-01,kolda,Maïs,D01,Alimentaire,kg,
2018-05-01,KOLDA,Maïs,D01,Alimentaire,kg,232.4
2018-06-01,kolda,Maïs,D01,Alimentaire,kg,226.6
Juillet 2018,Kolda ,Maïs,D01,Alimentaire,kg,238.9
2018-08-01,Kolda ,Maïs,D01,Alimentaire,kg,221.9
Septembre 2018,kolda,Maïs,D01,Alimentaire,kg,217.5
Octobre 2018,kolda,Maïs,D01,Alimentaire,kg,212.0
01/11/2018,KOLDA,Maïs,D01,Alimentaire,kg,206.5
2018-12-01,KOLDA,Maïs,D01,Alimentaire,kg,199.9
Janvier 2019,KOLDA,Maïs,D01,Alimentaire,kg,209.8
2019-02-01,KOLDA,Maïs,D01,Alimentaire,kg,211.8
01/03/2019,kolda,Maïs,D01,Alimentaire,kg,219.8
2019-04-01,KOLDA,Maïs,D01,Alimentaire,kg,220.8
Mai 2019,KOLDA,Maïs,D01,Alimentaire,kg,242.2
01/06/2019,Kolda ,Maïs,D01,Alimentaire,kg,234.6
2019-07-01,Kolda ,Maïs,D01,Alimentaire,kg,"246,0"
01/08/2019,Kolda ,Maïs,D01,Alimentaire,kg,241.8
Septembre 2019,kolda,Maïs,D01,Alimentaire,kg,226.2
Octobre 2019,kolda,Maïs,D01,Alimentaire,kg,219.1
Novembre 2019,Kolda ,Maïs,D01,Alimentaire,kg,"194,5"
2019-12-01,kolda,Maïs,D01,Alimentaire,kg,"202,6"
Janvier 2020,KOLDA,Maïs,D01,Alimentaire,kg,212.2
01/02/2020,Kolda ,Maïs,D01,Alimentaire,kg,"217,4"
Mars 2020,kolda,Maïs,D01,Alimentaire,kg,217.2
01/04/2020,kolda,Maïs,D01,Alimentaire,kg,231.6
01/05/2020,KOLDA,Maïs,D01,Alimentaire,kg,229.6
2020-06-01,kolda,Maïs,D01,Alimentaire,kg,249.1
01/07/2020,kolda,Maïs,D01,Alimentaire,kg,237.2
2020-08-01,Kolda ,Maïs,D01,Alimentaire,kg,246.2
01/09/2020,kolda,Maïs,D01,Alimentaire,kg,237.2
01/10/2020,kolda,Maïs,D01,Alimentaire,kg,219.8
Novembre 2020,Kolda ,Maïs,D01,Alimentaire,kg,216.3
01/12/2020,KOLDA,Maïs,D01,Alimentaire,kg,209.0
01/01/2021,Kolda ,Maïs,D01,Alimentaire,kg,213.6
2021-02-01,KOLDA,Maïs,D01,Alimentaire,kg,213.7
01/03/2021,KOLDA,Maïs,D01,Alimentaire,kg,
01/04/2021,kolda,Maïs,D01,Alimentaire,kg,230.9
Mai 2021,KOLDA,Maïs,D01,Alimentaire,kg,238.8
2021-06-01,KOLDA,Maïs,D01,Alimentaire,kg,252.6
2021-07-01,kolda,Maïs,D01,Alimentaire,kg,251.7
01/08/2021,Kolda ,Maïs,D01,Alimentaire,kg,248.7
Septembre 2021,KOLDA,Maïs,D01,Alimentaire,kg,235.5
Octobre 2021,KOLDA,Maïs,D01,Alimentaire,kg,237.7
Novembre 2021,Kolda ,Maïs,D01,Alimentaire,kg,222.1
01/12/2021,Kolda ,Maïs,D01,Alimentaire,kg,218.6
2022-01-01,kolda,Maïs,D01,Alimentaire,kg,225.3
01/02/2022,kolda,Maïs,D01,Alimentaire,kg,238.4
2022-03-01,Kolda ,Maïs,D01,Alimentaire,kg,249.7
Avril 2022,KOLDA,Maïs,D01,Alimentaire,kg,"263,8"
Mai 2022,Kolda ,Maïs,D01,Alimentaire,kg,278.8
01/06/2022,kolda,Maïs,D01,Alimentaire,kg,273.1
2022-07-01,kolda,Maïs,D01,Alimentaire,kg,275.3
2022-08-01,kolda,Maïs,D01,Alimentaire,kg,"281,6"
Septembre 2022,Kolda ,Maïs,D01,Alimentaire,kg,273.4
2022-10-01,Kolda ,Maïs,D01,Alimentaire,kg,268.9
2022-11-01,Kolda ,Maïs,D01,Alimentaire,kg,259.0
01/12/2022,kolda,Maïs,D01,Alimentaire,kg,252.4
2023-01-01,KOLDA,Maïs,D01,Alimentaire,kg,244.2
Février 2023,KOLDA,Maïs,D01,Alimentaire,kg,258.4
2023-03-01,Kolda ,Maïs,D01,Alimentaire,kg,"263,2"
Avril 2023,KOLDA,Maïs,D01,Alimentaire,kg,286.1
Mai 2023,kolda,Maïs,D01,Alimentaire,kg,284.7
2023-06-01,kolda,Maïs,D01,Alimentaire,kg,305.0
01/07/2023,Kolda ,Maïs,D01,Alimentaire,kg,293.9
Août 2023,kolda,Maïs,D01,Alimentaire,kg,2945.0
Septembre 2023,Kolda ,Maïs,D01,Alimentaire,kg,292.8
Octobre 2023,kolda,Maïs,D01,Alimentaire,kg,278.8
Novembre 2023,Kolda ,Maïs,D01,Alimentaire,kg,260.4
2023-12-01,KOLDA,Maïs,D01,Alimentaire,kg,255.1
01/01/2024,Kolda ,Maïs,D01,Alimentaire,kg,249.6
Février 2024,Kolda ,Maïs,D01,Alimentaire,kg,255.5
2024-03-01,Kolda ,Maïs,D01,Alimentaire,kg,276.2
2024-04-01,kolda,Maïs,D01,Alimentaire,kg,291.1
2024-05-01,KOLDA,Maïs,D01,Alimentaire,kg,301.3
Juin 2024,kolda,Maïs,D01,Alimentaire,kg,308.3
Juillet 2024,Kolda ,Maïs,D01,Alimentaire,kg,304.3
2024-08-01,KOLDA,Maïs,D01,Alimentaire,kg,296.5
2024-09-01,kolda,Maïs,D01,Alimentaire,kg,282.5
01/10/2024,KOLDA,Maïs,D01,Alimentaire,kg,276.3
Novembre 2024,Kolda ,Maïs,D01,Alimentaire,kg,"263,6"
Décembre 2024,kolda,Maïs,D01,Alimentaire,kg,255.9
Janvier 2025,Kolda ,Maïs,D01,Alimentaire,kg,260.9
Février 2025,KOLDA,Maïs,D01,Alimentaire,kg,"267,7"
01/03/2025,KOLDA,Maïs,D01,Alimentaire,kg,297.4
2025-04-01,Kolda ,Maïs,D01,Alimentaire,kg,"285,7"
01/05/2025,kolda,Maïs,D01,Alimentaire,kg,304.5
01/06/2025,KOLDA,Maïs,D01,Alimentaire,kg,303.2
Juillet 2025,Kolda ,Maïs,D01,Alimentaire,kg,310.0
01/08/2025,kolda,Maïs,D01,Alimentaire,kg,"304,5"
Septembre 2025,Kolda ,Maïs,D01,Alimentaire,kg,"302,6"
2025-10-01,kolda,Maïs,D01,Alimentaire,kg,285.0
Novembre 2025,Kolda ,Maïs,D01,Alimentaire,kg,"278,5"
01/12/2025,kolda,Maïs,D01,Alimentaire,kg,"266,7"
01/01/2026,kolda,Maïs,D01,Alimentaire,kg,254.4
Février 2026,kolda,Maïs,D01,Alimentaire,kg,
01/03/2026,KOLDA,Maïs,D01,Alimentaire,kg,282.8
2026-04-01,Kolda ,Maïs,D01,Alimentaire,kg,"298,2"
01/05/2026,kolda,Maïs,D01,Alimentaire,kg,312.4
Janvier 2018,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,10090.0
Février 2018,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1025.4
01/03/2018,dakar,Huile végétale raffinée,D01,Alimentaire,litre,
01/04/2018,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1105.7
2018-05-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1107.8
Juin 2018,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1157.2
01/07/2018,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1169.1
2018-08-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1117.2
Septembre 2018,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1069.0
Octobre 2018,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1057.1
2018-11-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1036.0
01/12/2018,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1006.7
Janvier 2019,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1012.0
Février 2019,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1052.9
2019-03-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,
2019-04-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1098.8
Mai 2019,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1099,4"
Juin 2019,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1165.2
Juillet 2019,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1136.5
01/08/2019,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1140.9
Septembre 2019,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1108.7
01/10/2019,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1030.3
Novembre 2019,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,"1043,3"
2019-12-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1035.9
2020-01-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1056.6
2020-02-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1067.3
2020-03-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1055.8
2020-04-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1168.1
01/05/2020,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1183.9
2020-06-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1167.5
01/07/2020,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1177,9"
01/08/2020,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1182.2
2020-09-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1159.4
01/10/2020,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1096.2
Novembre 2020,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1093.5
01/12/2020,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1020.0
2021-01-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1046.3
Février 2021,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1045.7
01/03/2021,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1106.0
01/04/2021,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1202.4
2021-05-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1253.1
2021-06-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1232.1
2021-07-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1211.4
Août 2021,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"12039,0"
2021-09-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1189.1
01/10/2021,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1106.8
Novembre 2021,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"1099,9"
01/12/2021,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1128.1
2022-01-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1104.3
Février 2022,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1148.3
2022-03-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1218.9
Avril 2022,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1285.5
Mai 2022,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1317.4
01/06/2022,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1374.9
2022-07-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1403.2
01/08/2022,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"1432,8"
2022-09-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1351.8
Octobre 2022,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1324.8
Novembre 2022,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1340.8
Décembre 2022,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1243.7
Janvier 2023,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1225.3
2023-02-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1295.5
2023-03-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1364.0
01/04/2023,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1397.9
01/05/2023,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1433.3
Juin 2023,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1424.2
01/07/2023,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1468.3
Août 2023,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1486.6
01/09/2023,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1384.9
2023-10-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1377.5
2023-11-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1342.9
01/12/2023,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"1285,2"
2024-01-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1300.0
01/02/2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1330.7
01/03/2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1372.1
2024-04-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,"1380,0"
01/05/2024,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1402.2
Juin 2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1483,1"
2024-07-01,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1462.7
01/08/2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1511.0
Septembre 2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1479,2"
2024-10-01,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1445.6
Novembre 2024,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1335,4"
01/12/2024,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1327.1
2025-01-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1332.0
Février 2025,dakar,Huile végétale raffinée,D01,Alimentaire,litre,"1358,6"
01/03/2025,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1373.7
Avril 2025,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1471.8
01/05/2025,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"1482,0"
Juin 2025,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,"1515,4"
Juillet 2025,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1470.3
Août 2025,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1518.4
01/09/2025,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1461.4
Octobre 2025,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,"1447,9"
2025-11-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1412.0
01/12/2025,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1361.0
01/01/2026,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1314.3
2026-02-01,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1372.9
Mars 2026,Dakar ,Huile végétale raffinée,D01,Alimentaire,litre,1401.1
Avril 2026,DAKAR,Huile végétale raffinée,D01,Alimentaire,litre,1413.4
Mai 2026,dakar,Huile végétale raffinée,D01,Alimentaire,litre,1517.0
01/01/2018,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,940.9
01/02/2018,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,946.5
01/03/2018,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,"979,4"
Avril 2018,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1037.8
Mai 2018,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1057.8
2018-06-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1029.8
01/07/2018,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1066.4
2018-08-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1082.7
Septembre 2018,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1020.3
01/10/2018,thiès,Huile végétale raffinée,D01,Alimentaire,litre,994.3
01/11/2018,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,990.9
2018-12-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,970.9
2019-01-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,985.4
Février 2019,thiès,Huile végétale raffinée,D01,Alimentaire,litre,927.8
Mars 2019,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1045.8
01/04/2019,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,"1057,1"
Mai 2019,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,"1125,5"
01/06/2019,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1072.2
01/07/2019,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1050.5
2019-08-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1071.9
01/09/2019,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1037.1
2019-10-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,"1023,4"
2019-11-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1003.8
01/12/2019,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,
2020-01-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,979.5
Février 2020,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1015.0
2020-03-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1031.7
Avril 2020,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1067.2
2020-05-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1130.8
Juin 2020,thiès,Huile végétale raffinée,D01,Alimentaire,litre,"1157,0"
01/07/2020,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1153.5
Août 2020,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1106.4
01/09/2020,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1032.9
01/10/2020,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1041.2
2020-11-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,999.5
01/12/2020,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,995.5
01/01/2021,thiès,Huile végétale raffinée,D01,Alimentaire,litre,
Février 2021,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1028.6
2021-03-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,"1040,4"
2021-04-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1072.9
2021-05-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1163.2
2021-06-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1134.5
Juillet 2021,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1157.6
2021-08-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1162.6
Septembre 2021,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1131.6
2021-10-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1094.9
Novembre 2021,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,"10560,0"
01/12/2021,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1049.5
2022-01-01,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1093.3
01/02/2022,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1109.1
Mars 2022,thiès,Huile végétale raffinée,D01,Alimentaire,litre,
Avril 2022,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1193.2
2022-05-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1276.1
01/06/2022,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1278.8
01/07/2022,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,
01/08/2022,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1299.0
Septembre 2022,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,"1280,7"
01/10/2022,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1279.0
01/11/2022,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1222.9
01/12/2022,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1190.5
Janvier 2023,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1208.7
Février 2023,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1180.3
Mars 2023,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1252.5
2023-04-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1331.0
2023-05-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1356.5
2023-06-01,THIÈS,Huile végétale raffinée,D01,Alimentaire,litre,1424.3
2023-07-01,Thiès ,Huile végétale raffinée,D01,Alimentaire,litre,1343.1
Août 2023,thiès,Huile végétale raffinée,D01,Alimentaire,litre,1322.4
